Time,W,X,Y
10.056,2145,2034,445
10.056,2139,2015,402
10.077,2139,2015,402
10.077,2140,2012,426
10.097,2140,2012,426
10.097,2127,2015,392
10.099,2127,2015,392
10.099,2159,2012,421
10.118,2159,2012,421
10.118,2152,2048,413
10.139,2152,2048,413
10.139,2142,1996,425
10.16,2142,1996,425
10.16,2138,2014,431
10.18,2138,2014,431
10.18,2116,2019,406
10.201,2116,2019,406
10.201,2135,2024,448
10.222,2135,2024,448
10.223,2131,2017,451
10.243,2131,2017,451
10.243,2143,2020,421
10.243,2143,2020,421
10.244,2133,2018,440
10.263,2133,2018,440
10.263,2144,2026,423
10.288,2144,2026,423
10.288,2135,2021,420
10.307,2135,2021,420
10.307,2136,2038,434
10.328,2136,2038,434
10.328,2142,2014,410
10.349,2142,2014,410
10.35,2132,2013,436
10.37,2132,2013,436
10.37,2139,1988,462
10.391,2139,1988,462
10.391,2136,2002,420
10.414,2136,2002,420
10.414,2140,2019,453
10.415,2140,2019,453
10.415,2138,2007,461
10.434,2138,2007,461
10.434,2131,2019,439
10.454,2131,2019,439
10.454,2134,2000,367
10.475,2134,2000,367
10.475,2133,2016,424
10.496,2133,2016,424
10.496,2147,2017,429
10.516,2147,2017,429
10.516,2129,2018,416
10.537,2129,2018,416
10.537,2134,2009,432
10.56,2134,2009,432
10.56,2131,2030,411
10.58,2131,2030,411
10.58,2139,2015,488
10.58,2139,2015,488
10.581,2117,2021,479
10.601,2117,2021,479
10.601,2127,2012,419
10.621,2127,2012,419
10.621,2111,1993,415
10.643,2111,1993,415
10.643,2117,1974,413
10.663,2117,1974,413
10.663,2123,1981,428
10.683,2123,1981,428
10.683,2129,1976,443
10.706,2129,1976,443
10.706,2118,1977,436
10.726,2118,1977,436
10.726,2129,1927,437
10.747,2129,1927,437
10.747,2139,1948,445
10.748,2139,1948,445
10.748,2134,1954,446
10.769,2134,1954,446
10.769,2133,1960,466
10.789,2133,1960,466
10.789,2110,1943,425
10.81,2110,1943,425
